match_id,start_time,win,hero_id,account_id,leaguename
5457526414,1591466676,false,87,92949094,Vulkan Fight Series
5457526414,1591466676,false,72,196490133,Vulkan Fight Series
5457526414,1591466676,false,53,27178898,Vulkan Fight Series
5457526414,1591466676,false,98,176961039,Vulkan Fight Series
5457526414,1591466676,false,100,118078153,Vulkan Fight Series
5457526414,1591466676,true,111,113619848,Vulkan Fight Series
5457526414,1591466676,true,43,367945161,Vulkan Fight Series
5457526414,1591466676,true,7,404150207,Vulkan Fight Series
5457526414,1591466676,true,38,115460159,Vulkan Fight Series
5457526414,1591466676,true,10,412413765,Vulkan Fight Series
5457591146,1591469298,false,70,86745912,ESL One Birmingham 2020 Online powered by Intel
5457591146,1591469298,false,49,115141430,ESL One Birmingham 2020 Online powered by Intel
5457591146,1591469298,false,30,94155156,ESL One Birmingham 2020 Online powered by Intel
5457591146,1591469298,false,104,30237211,ESL One Birmingham 2020 Online powered by Intel
5457591146,1591469298,false,68,25907144,ESL One Birmingham 2020 Online powered by Intel
5457591146,1591469298,true,51,40547474,ESL One Birmingham 2020 Online powered by Intel
5457591146,1591469298,true,77,100058342,ESL One Birmingham 2020 Online powered by Intel
5457591146,1591469298,true,110,38628747,ESL One Birmingham 2020 Online powered by Intel
5457591146,1591469298,true,36,169025618,ESL One Birmingham 2020 Online powered by Intel
5457591146,1591469298,true,17,238239590,ESL One Birmingham 2020 Online powered by Intel
5457645583,1591472293,true,68,113619848,Vulkan Fight Series
5457645583,1591472293,true,106,367945161,Vulkan Fight Series
5457645583,1591472293,true,2,115460159,Vulkan Fight Series
5457645583,1591472293,true,83,404150207,Vulkan Fight Series
5457645583,1591472293,true,93,412413765,Vulkan Fight Series
5457645583,1591472293,false,58,92949094,Vulkan Fight Series
5457645583,1591472293,false,10,196490133,Vulkan Fight Series
5457645583,1591472293,false,65,27178898,Vulkan Fight Series
5457645583,1591472293,false,47,176961039,Vulkan Fight Series
5457645583,1591472293,false,88,118078153,Vulkan Fight Series
5457678076,1591474382,false,58,100175472,Movistar Liga Pro Gaming Season 4
5457678076,1591474382,false,39,118073569,Movistar Liga Pro Gaming Season 4
5457678076,1591474382,false,107,101779337,Movistar Liga Pro Gaming Season 4
5457678076,1591474382,false,4,249651648,Movistar Liga Pro Gaming Season 4
5457678076,1591474382,false,99,911671153,Movistar Liga Pro Gaming Season 4
5457678076,1591474382,true,86,105045291,Movistar Liga Pro Gaming Season 4
5457678076,1591474382,true,74,153581591,Movistar Liga Pro Gaming Season 4
