mid,time,radiant_team,dire_team,radiant_win
5506657702,2020-07-10 16:28:06,"114,126,87,7,102","60,37,69,46,67",False
5506657409,2020-07-10 16:27:45,"14,58,21,110,70","109,20,98,71,59",False
5506656900,2020-07-10 16:27:06,"61,2,53,1,20","39,70,121,50,67",True
5506656809,2020-07-10 16:26:55,"33,8,74,30,104","84,70,26,92,40",False
5506656214,2020-07-10 16:26:16,"21,28,48,86,37","26,126,8,129,90",False
5506656006,2020-07-10 16:26:05,"101,39,1,29,112","120,7,126,9,70",False
5506656000,2020-07-10 16:25:35,"11,56,51,64,63","98,19,111,21,70",False
5506655805,2020-07-10 16:25:51,"62,126,67,86,84","87,129,45,106,98",True
5506655718,2020-07-10 16:25:40,"95,50,49,17,105","46,1,39,86,63",False
5506655707,2020-07-10 16:25:45,"35,77,43,97,87","14,46,84,70,22",True
5506655313,2020-07-10 16:25:10,"83,89,34,2,128","86,73,12,58,99",True
5506655017,2020-07-10 16:24:56,"47,1,64,110,129","62,70,39,25,102",False
5506654714,2020-07-10 16:24:20,"47,40,33,32,112","14,15,93,126,51",False
5506654317,2020-07-10 16:23:55,"8,80,21,121,65","120,7,93,87,4",False
5506654316,2020-07-10 16:23:45,"10,62,104,83,17","35,26,6,46,28",False
5506654014,2020-07-10 16:23:30,"54,21,25,126,13","60,2,95,101,39",False
5506653416,2020-07-10 16:23:00,"105,64,114,108,67","8,61,102,38,101",True
5506653204,2020-07-10 16:22:45,"84,42,101,99,66","98,100,80,112,93",False
5506653119,2020-07-10 16:22:35,"100,129,56,10,45","35,8,102,20,87",True
5506652703,2020-07-10 16:22:15,"20,109,23,75,86","14,35,70,39,25",False
5506652604,2020-07-10 16:22:05,"93,46,83,9,26","111,11,6,85,2",True
5506652401,2020-07-10 16:21:56,"9,6,35,88,25","39,41,14,104,101",True
5506652115,2020-07-10 16:21:35,"98,52,56,70,37","84,38,45,67,3",False
5506652101,2020-07-10 16:21:35,"110,64,70,128,34","120,26,36,74,8",True
5506651904,2020-07-10 16:21:20,"12,119,84,53,76","126,60,109,64,120",False
5506651817,2020-07-10 16:21:15,"19,35,110,106,18","17,121,58,2,67",True
5506651704,2020-07-10 16:21:10,"7,13,93,31,16","44,86,9,76,29",False
5506651011,2020-07-10 16:20:20,"126,28,53,106,84","39,21,25,95,71",False
5506650919,2020-07-10 16:19:55,"39,3,1,63,2","30,109,9,120,60",False
5506650400,2020-07-10 16:19:40,"43,68,12,39,74","4,111,9,32,99",True
5506649509,2020-07-10 16:18:20,"85,88,12,16,61","93,120,68,1,51",True
5506649318,2020-07-10 16:18:19,"128,11,109,9,70","96,93,110,87,106",True
5506649105,2020-07-10 16:18:09,"64,1,108,66,4","86,7,12,11,121",False
5506649102,2020-07-10 16:18:04,"37,85,67,56,16","114,36,10,7,75",True
5506648812,2020-07-10 16:17:45,"99,14,3,106,1","104,26,128,74,41",True
5506648808,2020-07-10 16:17:30,"20,71,15,8,11","114,25,67,9,40",True
5506648717,2020-07-10 16:17:45,"8,19,39,20,107","110,42,9,120,25",False
5506648207,2020-07-10 16:17:09,"26,114,47,28,101","86,7,1,126,23",True
5506648106,2020-07-10 16:16:49,"102,73,13,1,86","16,39,44,121,51",True
5506648010,2020-07-10 16:16:55,"21,100,5,69,67","7,75,4,40,47",True
5506647815,2020-07-10 16:16:40,"31,112,59,12,129","120,114,14,53,23",False
5506647700,2020-07-10 16:16:30,"93,31,65,50,42","35,87,45,51,41",True
5506647616,2020-07-10 16:16:15,"102,80,56,128,11","7,59,48,26,21",True
5506647517,2020-07-10 16:16:20,"64,93,104,39,96","42,56,83,40,26",False
5506647109,2020-07-10 16:15:45,"93,35,71,64,31","67,14,75,21,60",True
5506647102,2020-07-10 16:15:55,"83,100,25,39,12","99,3,44,97,53",True
5506647008,2020-07-10 16:15:50,"19,128,46,93,110","101,3,82,126,54",True
